Feature,value
Category,Ordinary Bitter
Color,Gold to copper-colored
Clarity,Chill haze is allowable at cold temperatures
Perceived Malt Aroma & Flavor,Low to medium residual malt sweetness should be present
Perceived Hop Aroma & Flavor,Very low to medium-low
Perceived Bitterness,Medium
Fermentation Characteristics,"Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels."
Body,Low to medium
Additional notes,"When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect English and American hop character."
Original Gravity (°Plato),1.033-1.038 (8.3-9.5 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.012 (1.5-3.1 °Plato)
Alcohol by Weight (Volume),2.40%-3.30% (3.00%-4.20%)
Bitterness (IBU),20-35
Color SRM (EBC),5-12(10-24 EBC)
Category,Special Bitter or Best Bitter
Color,Deep gold to deep copper
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Medium residual malt sweetness should be present
Perceived Hop Aroma & Flavor,Very low to medium at the brewer’s discretion
Perceived Bitterness,Medium and not harsh
Fermentation Characteristics,"Low carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels."
Body,Medium
Additional notes,"When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect English and American hop character."
Original Gravity (°Plato),1.038-1.045 (9.5-11.2 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.012 (1.5-3.1 °Plato)
Alcohol by Weight (Volume),3.30%-3.80% (4.20%-4.80%)
Bitterness (IBU),28-40
Color SRM (EBC),6-14(12-28 EBC)
Category,Extra Special Bitter
Color,Amber to deep copper
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Medium to medium-high
Perceived Hop Aroma & Flavor,Medium to medium-high
Perceived Bitterness,Medium to medium-high
Fermentation Characteristics,"Low carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. The overall impression is refreshing and thirst quenching. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels."
Body,Medium
Additional notes,"Entries in this subcategory exhibit hop aroma and flavor attributes typical of traditional English hop varieties. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect English and American hop character."
Original Gravity (°Plato),1.046-1.06 (11.4-14.7 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.016 (2.6-4.1 °Plato)
Alcohol by Weight (Volume),3.80%-4.60% (4.80%-5.80%)
Bitterness (IBU),30-45
Color SRM (EBC),8-17(16-34 EBC)
Category,Scottish-Style Light Ale
Color,Gold to light brown
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,"Malty, caramel aroma may be present. A low to medium-low, soft and chewy caramel malt ﬂavor should be present."
Perceived Hop Aroma & Flavor,Should not be present
Perceived Bitterness,Low
Fermentation Characteristics,"Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions. Fruity esters, if present, are low."
Body,Low
Additional notes,"These beers differ significantly from Scotch Ale, especially regarding original gravity, alcohol content, and malt attributes. While there are conflicting theories as to whether traditional Scottish Light Ale exhibited peat smoke character, the current marketplace offers many examples with peat smoke character present at low to medium-low levels. Peat smoke attributes may be absent or present at low to medium-low levels. Versions exhibiting higher levels of smoke character are categorized as Smoke Beer. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may create subcategories which reflect groups of entries based on presence or absence of peat smoke-derived attributes."
Original Gravity (°Plato),1.03-1.035 (7.6-8.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.01 (1.5-2.6 °Plato)
Alcohol by Weight (Volume),2.20%-2.80% (2.80%-3.50%)
Bitterness (IBU),9-20
Color SRM (EBC),6-15(12-30 EBC)
Category,Scottish-Style Heavy Ale
Color,Amber to dark brown
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,"Malty, caramel aroma is present. The style exhibits a medium degree of sweet malt and caramel. The overall impression is smooth and balanced."
Perceived Hop Aroma & Flavor,Should not be present
Perceived Bitterness,Perceptible but low
Fermentation Characteristics,"Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions. Fruity esters, if present, are low."
Body,Medium with a soft chewy character
Additional notes,"These beers differ significantly from Scotch Ale, especially regarding original gravity, alcohol content, and malt attributes. While there are conflicting theories as to whether traditional Scottish Heavy Ale exhibited peat smoke character, the current marketplace offers many examples with peat smoke character present at low to medium-low levels. Peat smoke attributes may be absent or present at low to medium-low levels. Versions exhibiting higher levels of smoke character are categorized as Smoke Beer. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may create subcategories which reflect groups of entries based on presence or absence of peat smoke-derived attributes."
Original Gravity (°Plato),1.035-1.04 (8.8-10 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.014 (2.6-3.6 °Plato)
Alcohol by Weight (Volume),2.80%-3.20% (3.50%-4.10%)
Bitterness (IBU),12-20
Color SRM (EBC),8-30(16-60 EBC)
Category,Scottish-Style Export Ale
Color,Medium amber to dark chestnut brown
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Sweet malt and caramel aromas and flavors define the character of a Scottish Export
Perceived Hop Aroma & Flavor,Should not be present
Perceived Bitterness,Low to medium
Fermentation Characteristics,"Fruity esters, if present, are low. Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions."
Body,Medium
Additional notes,"These beers differ significantly from Scotch Ale, especially regarding original gravity, alcohol content, and malt attributes. While there are conflicting theories as to whether traditional Scottish Export Ale exhibited peat smoke character, the current marketplace offers many examples with peat smoke character present at low to medium-low levels. Peat smoke attributes may be absent or present at low to medium-low levels. Versions exhibiting higher levels of smoke character are categorized as Smoke Beer. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may create subcategories which reflect groups of entries based on presence or absence of peat smoke-derived attributes."
Original Gravity (°Plato),1.04-1.05 (10-12.4 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.018 (2.6-4.6 °Plato)
Alcohol by Weight (Volume),3.20%-4.20% (4.10%-5.30%)
Bitterness (IBU),15-25
Color SRM (EBC),9-19(18-38 EBC)
Category,English-Style Summer Ale
Color,Straw to gold
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Residual malt sweetness is low to medium. Torriﬁed or malted wheat is often used in quantities of 25 percent or less. Malt attributes such as biscuity or low levels of caramel are present.
Perceived Hop Aroma & Flavor,"Low to medium, expressed as floral, herbal, earthy, stone fruit, citrus or other attributes. Hop ﬂavor should not be assertive and should be well balanced with malt character."
Perceived Bitterness,Medium-low to medium
Fermentation Characteristics,"Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are low to medium. Diacetyl and DMS should not be present."
Body,Low to medium-low
Additional notes,The overall impression is refreshing and thirst quenching
Original Gravity (°Plato),1.036-1.05 (9-12.4 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.012 (1.5-3.1 °Plato)
Alcohol by Weight (Volume),2.90%-4.00% (3.70%-5.10%)
Bitterness (IBU),20-30
Color SRM (EBC),3-6(6-12 EBC)
Category,Classic English-Style Pale Ale
Color,Gold to copper
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Low to medium malt aroma and ﬂavor is present. Low caramel character is allowable.
Perceived Hop Aroma & Flavor,"Medium-low to medium-high, expressed as ﬂoral, herbal, earthy, stone fruit or other attributes."
Perceived Bitterness,Medium-low to medium-high
Fermentation Characteristics,Fruity esters are medium to medium-high. Diacetyl is usually absent in these beers but may be present at very low levels.
Body,Medium
