Feature,Category,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Additional notes,Original Gravity (°Plato),Apparent Extract/Final Gravity (°Plato),Alcohol by Weight (Volume),Bitterness (IBU),Color SRM (EBC)
1,Ordinary Bitter,Gold to copper-colored,Chill haze is allowable at cold temperatures,Low to medium residual malt sweetness should be present,Very low to medium-low,Medium,"Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.",Low to medium,"When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect English and American hop character.",1.033-1.038 (8.3-9.5 °Plato),1.006-1.012 (1.5-3.1 °Plato),2.40%-3.30% (3.00%-4.20%),20-35,5-12(10-24 EBC)
2,Special Bitter or Best Bitter,Deep gold to deep copper,Chill haze is acceptable at low temperatures,Medium residual malt sweetness should be present,Very low to medium at the brewer’s discretion,Medium and not harsh,"Low carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.",Medium,"When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect English and American hop character.",1.038-1.045 (9.5-11.2 °Plato),1.006-1.012 (1.5-3.1 °Plato),3.30%-3.80% (4.20%-4.80%),28-40,6-14(12-28 EBC)
3,Extra Special Bitter,Amber to deep copper,Chill haze is acceptable at low temperatures,Medium to medium-high,Medium to medium-high,Medium to medium-high,"Low carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. The overall impression is refreshing and thirst quenching. Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.",Medium,"Entries in this subcategory exhibit hop aroma and flavor attributes typical of traditional English hop varieties. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect English and American hop character.",1.046-1.06 (11.4-14.7 °Plato),1.01-1.016 (2.6-4.1 °Plato),3.80%-4.60% (4.80%-5.80%),30-45,8-17(16-34 EBC)
4,Scottish-Style Light Ale,Gold to light brown,Chill haze is acceptable at low temperatures,"Malty, caramel aroma may be present. A low to medium-low, soft and chewy caramel malt ﬂavor should be present.",Should not be present,Low,"Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions. Fruity esters, if present, are low.",Low,"These beers differ significantly from Scotch Ale, especially regarding original gravity, alcohol content, and malt attributes. While there are conflicting theories as to whether traditional Scottish Light Ale exhibited peat smoke character, the current marketplace offers many examples with peat smoke character present at low to medium-low levels. Peat smoke attributes may be absent or present at low to medium-low levels. Versions exhibiting higher levels of smoke character are categorized as Smoke Beer. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may create subcategories which reflect groups of entries based on presence or absence of peat smoke-derived attributes.",1.03-1.035 (7.6-8.8 °Plato),1.006-1.01 (1.5-2.6 °Plato),2.20%-2.80% (2.80%-3.50%),9-20,6-15(12-30 EBC)
5,Scottish-Style Heavy Ale,Amber to dark brown,Chill haze is acceptable at low temperatures,"Malty, caramel aroma is present. The style exhibits a medium degree of sweet malt and caramel. The overall impression is smooth and balanced.",Should not be present,Perceptible but low,"Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions. Fruity esters, if present, are low.",Medium with a soft chewy character,"These beers differ significantly from Scotch Ale, especially regarding original gravity, alcohol content, and malt attributes. While there are conflicting theories as to whether traditional Scottish Heavy Ale exhibited peat smoke character, the current marketplace offers many examples with peat smoke character present at low to medium-low levels. Peat smoke attributes may be absent or present at low to medium-low levels. Versions exhibiting higher levels of smoke character are categorized as Smoke Beer. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may create subcategories which reflect groups of entries based on presence or absence of peat smoke-derived attributes.",1.035-1.04 (8.8-10 °Plato),1.01-1.014 (2.6-3.6 °Plato),2.80%-3.20% (3.50%-4.10%),12-20,8-30(16-60 EBC)
6,Scottish-Style Export Ale,Medium amber to dark chestnut brown,Chill haze is acceptable at low temperatures,Sweet malt and caramel aromas and flavors define the character of a Scottish Export,Should not be present,Low to medium,"Fruity esters, if present, are low. Yeast attributes such as diacetyl and sulfur are acceptable at very low levels. Bottled versions may contain higher amounts of carbon dioxide than is typical for lightly carbonated draft versions.",Medium,"These beers differ significantly from Scotch Ale, especially regarding original gravity, alcohol content, and malt attributes. While there are conflicting theories as to whether traditional Scottish Export Ale exhibited peat smoke character, the current marketplace offers many examples with peat smoke character present at low to medium-low levels. Peat smoke attributes may be absent or present at low to medium-low levels. Versions exhibiting higher levels of smoke character are categorized as Smoke Beer. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may create subcategories which reflect groups of entries based on presence or absence of peat smoke-derived attributes.",1.04-1.05 (10-12.4 °Plato),1.01-1.018 (2.6-4.6 °Plato),3.20%-4.20% (4.10%-5.30%),15-25,9-19(18-38 EBC)
7,English-Style Summer Ale,Straw to gold,Chill haze is acceptable at low temperatures,Residual malt sweetness is low to medium. Torriﬁed or malted wheat is often used in quantities of 25 percent or less. Malt attributes such as biscuity or low levels of caramel are present.,"Low to medium, expressed as floral, herbal, earthy, stone fruit, citrus or other attributes. Hop ﬂavor should not be assertive and should be well balanced with malt character.",Medium-low to medium,"Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity esters are low to medium. Diacetyl and DMS should not be present.",Low to medium-low,The overall impression is refreshing and thirst quenching,1.036-1.05 (9-12.4 °Plato),1.006-1.012 (1.5-3.1 °Plato),2.90%-4.00% (3.70%-5.10%),20-30,3-6(6-12 EBC)
8,Classic English-Style Pale Ale,Gold to copper,Chill haze is acceptable at low temperatures,Low to medium malt aroma and ﬂavor is present. Low caramel character is allowable.,"Medium-low to medium-high, expressed as ﬂoral, herbal, earthy, stone fruit or other attributes.",Medium-low to medium-high,Fruity esters are medium to medium-high. Diacetyl is usually absent in these beers but may be present at very low levels.,Medium,"A wide range of hop varieties may be used for bitterness or for approximating traditional English hop character. The use of water with high mineral content may result in a crisp, dry beer rather than a malt-accentuated version.",1.04-1.056 (10-13.8 °Plato),1.008-1.016 (2.1-4.1 °Plato),3.50%-4.20% (4.40%-5.30%),20-40,5-12(10-24 EBC)
9,British-Style India Pale Ale,Gold to copper,Chill haze is acceptable at low temperatures,Medium malt ﬂavor should be present,"Medium to high, expressed as ﬂoral, herbal, earthy, stone fruit or other attributes from high hopping rates.",Medium to high,"Fruity esters are medium to high. Traditional interpretations are characterized by medium to medium-high alcohol content. The use of water with high mineral content results in a crisp, dry beer with a subtle and balanced character of sulfur compounds. Diacetyl can be absent or may be present at very low levels.",Medium,"When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to split this category into subcategories which reflect strong and very strong versions.",1.046-1.064 (11.4-15.7 °Plato),1.012-1.018 (3.1-4.6 °Plato),3.60%-5.60% (4.50%-7.10%),35-63,6-14(12-28 EBC)
10,Strong Ale,Amber to dark brown,Chill haze is acceptable at low temperatures,Medium to high malt and caramel sweetness. Very low levels of roast malt may be present.,Not present to very low,"Present but minimal, and balanced with malt ﬂavors.","Rich, often sweet and complex fruity ester attributes can contribute to the profile of Strong Ales. Alcohol types can be varied and complex. Diacetyl is usually absent in these beers but may be present at very low levels.",Medium to full,"Low level attributes typical of wood aging such as vanillin are acceptable. Brettanomyces and acidity reﬂect historical character; low level attributes such as horsey, goaty, leathery, phenolic, etc. and acidity may be present and balanced with other ﬂavors. Attributes arising from liquids previously aged in a barrel, such as bourbon or sherry, should not be present. Beers that exhibit such attributes are categorized as wood- and barrel-aged beers. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to split this category into subcategories which reflect strong and very strong versions, or historic and modern versions.",1.06-1.125 (14.7-29 °Plato),1.014-1.04 (3.6-10 °Plato),5.50%-8.90% (7.00%-11.30%),30-65,8-21(16-42 EBC)
